name,price_doll,price,url_img,inf
Mercedes-Benz S-класс,$12300,1080309сом,https://im.mashina.kg/tachka/images//a/d/e/adeb4a168b2fefa86b96fef180e60735_240x180.jpg,"2004г.,5л.,автоматседан,бензинрульслева,220500км"
Toyota RAV4,$32500,2854475сом,https://im.mashina.kg/tachka/images//f/5/e/f5e7178be2711ef1f3f9e499303e81de_240x180.jpg,"2019г.,2.5л.,вариаторвнедорожник5дв.,гибридрульслева,65000км"
Kia Sorento,$26200,2301146сом,https://im.mashina.kg/tachka/images//3/4/e/34eefaac954515a0b059ca9a51ffd671_240x180.jpg,"2016г.,2.2л.,автоматвнедорожник5дв.,дизельрульслева,127000км"
Toyota Prius,$6500,570895сом,https://im.mashina.kg/tachka/images//7/0/7/707f02902c54e4d197aec7006f8d34e8_240x180.jpg,"2007г.,1.5л.,автоматхэтчбек5дв.,гибридрульслева,254678км"
Zeekr 001,$45000,3915000сом,https://im.mashina.kg/tachka/images//0/a/a/0aa3260f6555b15a6774efb9543c8ec1_240x180.jpg,"2023г.,автоматлифтбек,электрорульслева"
Hyundai Palisade,$48000,4215840сом,https://im.mashina.kg/tachka/images//c/1/c/c1c41142d2d0bd6b87d48d1407b9c8ac_240x180.jpg,"2020г.,2.2л.,автоматвнедорожник5дв.,дизельрульслева,33000км"
Toyota Camry,$21800,1914694сом,https://im.mashina.kg/tachka/images//2/f/e/2fefa040058f2685fd28a2678194713b_240x180.jpg,"2018г.,2.5л.,автоматседан,бензинрульслева,61000км"
Lexus ES,$12900,1133007сом,https://im.mashina.kg/tachka/images//3/0/8/3082d78ac33b2ca4734bf8fcfad994d5_240x180.jpg,"2007г.,3.5л.,автоматседан,бензинрульслева,250000км"
BMW 5 серии,$36500,3205795сом,https://im.mashina.kg/tachka/images//6/e/5/6e5faa3e2dce9dc0eb93ff350bf0e9f4_240x180.jpg,"2018г.,3л.,автоматседан,бензинрульслева,109000км"
Toyota RAV4,$20800,1826864сом,https://im.mashina.kg/tachka/images//4/9/0/49033962cf39fd33c18050b2c88ea5c4_240x180.jpg,"2017г.,2.5л.,автоматвнедорожник5дв.,бензинрульслева,107523км"
Toyota Highlander,$18900,1659987сом,https://im.mashina.kg/tachka/images//6/7/9/67936aa475aec023c45eaf20b06369b3_240x180.jpg,"2012г.,3.5л.,автоматвнедорожник5дв.,бензинрульслева,200000км"
Lexus LX,$72000,6323760сом,https://im.mashina.kg/tachka/images//8/8/f/88fcc95d19d0e97f24a38e738ea6c280_240x180.jpg,"2014г.,5.7л.,автоматвнедорожник5дв.,бензинрульслева,37000км"
Geely Monjaro,$27932,2430084сом,https://im.mashina.kg/tachka/images//6/9/6/696f29da46f4dee6b1b50054c4439eef_240x180.jpg,"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева"
Kia Mohave (Borrego),$58700,5155621сом,https://im.mashina.kg/tachka/images//3/a/6/3a613905c12b83b88e35d6241fd2f954_240x180.jpg,"2022г.,3л.,автоматвнедорожник5дв.,дизельрульслева,13000км"
Mercedes-Benz GL-класс,$37500,3293625сом,https://im.mashina.kg/tachka/images//1/8/1/181decc3674613bc984db4cd7db646a1_240x180.jpg,"2013г.,4.7л.,автоматвнедорожник5дв.,бензинрульслева,100000км"
Subaru Outback,$24500,2151835сом,https://im.mashina.kg/tachka/images//b/4/1/b41ad9d6bcbedd2929fc29175ade45ea_240x180.jpg,"2019г.,2.5л.,вариаторуниверсал,бензинрульслева,69000км"
Hyundai Sonata,$12900,1133007сом,https://im.mashina.kg/tachka/images//e/e/c/eec3b2e0c9749cdb18b2adeda537e250_240x180.jpg,"2017г.,2л.,автоматседан,газрульслева,179000км"
Lexus RX,$53000,4654990сом,https://im.mashina.kg/tachka/images//4/b/1/4b1dd6efd46848725500becb82fab9b5_240x180.jpg,"2021г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,38000км"
Kia K5 II Седан,$14400,1264752сом,https://im.mashina.kg/tachka/images//6/d/5/6d531065a498b1413e1a00342a48bc84_240x180.jpg,"2018г.,2л.,автоматседан,газрульслева,320000км"
Tesla Model 3,$57000,5006310сом,https://im.mashina.kg/tachka/images//d/e/e/deeef3d3a4f9f913922cea372a08e1bc_240x180.jpg,"2022г.,автоматседан,электрорульслева,55км"
Lexus ES,$31000,2722730сом,https://im.mashina.kg/tachka/images//c/9/6/c969ed889c8edf853304eec6626d6db5_240x180.jpg,"2017г.,2.5л.,вариаторседан,гибридрульслева,107124км"
Toyota Camry,$13900,1220837сом,https://im.mashina.kg/tachka/images//b/f/4/bf4ca4979c9e718d14932d0af38db016_240x180.jpg,"2016г.,2.5л.,автоматседан,бензинрульслева,154000км"
Lexus GX,$47000,4128010сом,https://im.mashina.kg/tachka/images//1/2/0/120e7310e2cfe0df6a426dc12f3e61c1_240x180.jpg,"2015г.,4.6л.,автоматвнедорожник5дв.,бензинрульслева,114000км"
Toyota Highlander,$21000,1844430сом,https://im.mashina.kg/tachka/images//3/c/b/3cbec18064436fad823ee213f932609d_240x180.jpg,"2007г.,3.5л.,автоматвнедорожник5дв.,бензинрульслева,107000км"
BMW X5,$92000,8080360сом,https://im.mashina.kg/tachka/images//3/b/f/3bf38a30a3d37a200fe0c1ed5c3162ae_240x180.jpg,"2019г.,3л.,автоматвнедорожник5дв.,бензинрульслева,68500км"
Volkswagen ID.4,$32500,2854475сом,https://im.mashina.kg/tachka/images//f/8/0/f8053fe31da79a445995afb18db9bede_240x180.jpg,"2022г.,автоматвнедорожник5дв.,электрорульслева,190км"
Porsche Panamera,$28700,2520721сом,https://im.mashina.kg/tachka/images//9/1/d/91dcd6452ec6921cb6bec3242fcbbd08_240x180.jpg,"2011г.,4.8л.,роботхэтчбек5дв.,бензинрульслева,152000км"
Toyota Highlander,$45000,3952350сом,https://im.mashina.kg/tachka/images//8/6/0/86031fe8a499163f1bd0bfe27353227a_240x180.jpg,"2017г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,102998км"
Kia K5 II Седан,$17000,1493110сом,https://im.mashina.kg/tachka/images//9/0/0/90091afa0a9e39ea9d939d365290ed13_240x180.jpg,"2019г.,2л.,автоматседан,газрульслева,190000км"
Kia Sorento,$25800,2266014сом,https://im.mashina.kg/tachka/images//6/9/d/69d42e17fd3414e9757544a21af371fe_240x180.jpg,"2016г.,2л.,автоматвнедорожник5дв.,дизельрульслева,171000км"
Kia K5 III Седан,$32000,2810560сом,https://im.mashina.kg/tachka/images//c/2/2/c2255fc59eb082a1f9376a6dd65644f2_240x180.jpg,"2020г.,2л.,автоматседан,бензинрульслева,46000км"
Toyota Land Cruiser Prado,$31300,2749079сом,https://im.mashina.kg/tachka/images//8/1/e/81ec2508f0fb0d4ee890733fcff38a6b_240x180.jpg,"2009г.,4л.,автоматвнедорожник5дв.,бензинрульслева,220000км"
Hyundai Sonata,$28000,2459240сом,https://im.mashina.kg/tachka/images//a/d/5/ad5b05c480bcf33d330ae4b9f9f58191_240x180.jpg,"2019г.,2л.,автоматседан,бензинрульслева,51000км"
Toyota Camry,$32791,2880000сом,https://im.mashina.kg/tachka/images//f/e/6/fe6ce42e5ec816c814676a19690be281_240x180.jpg,"2018г.,2.5л.,вариаторседан,гибридрульслева,90000км"
BMW 5 серии,$44000,3864520сом,https://im.mashina.kg/tachka/images//a/1/b/a1b938ffbcd3632dd3834e2dad509049_240x180.jpg,"2019г.,2л.,автоматседан,бензинрульслева,40000км"
Toyota 4Runner,$31500,2766645сом,https://im.mashina.kg/tachka/images//3/f/f/3ff3e9da4ec9027e3fa884115b87ea8e_240x180.jpg,"2011г.,4л.,автоматвнедорожник5дв.,бензинрульслева,250000км"
Kia K7,$21100,1853213сом,https://im.mashina.kg/tachka/images//f/8/5/f85314e13959e59c2403d1de168307f7_240x180.jpg,"2016г.,2.2л.,автоматседан,дизельрульслева,191000км"
Toyota Ist,$9800,860734сом,https://im.mashina.kg/tachka/images//3/9/0/39072d0f79fdff5487c4e24bd352596b_240x180.jpg,"2010г.,1.8л.,автоматхэтчбек5дв.,бензинрульслева,200000км"
Geely Monjaro,$28500,2503155сом,https://im.mashina.kg/tachka/images//7/a/f/7af2b9fb94e7038d2858fc45d7d6f7ba_240x180.jpg,"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева,20км"
Genesis GV70,$52000,4567160сом,https://im.mashina.kg/tachka/images//2/3/8/238a3bc2f27892906c75b196d8287abc_240x180.jpg,"2021г.,2.2л.,автоматвнедорожник5дв.,дизельрульслева,58000км"
Toyota 4Runner,$18200,1598506сом,https://im.mashina.kg/tachka/images//6/e/5/6e5c2defd5e161bf441f78f2babfdb07_240x180.jpg,"2003г.,4л.,автоматвнедорожник5дв.,бензинрульслева,130000км"
BMW 7 серии,$26000,2283580сом,https://im.mashina.kg/tachka/images//b/7/7/b779e76637e1ecee16cde4839ca5898e_240x180.jpg,"2013г.,3л.,автоматседан,бензинрульслева,190000км"
Chevrolet Spark,$8500,746555сом,https://im.mashina.kg/tachka/images//e/6/a/e6ae484177adfa4cece045ca907aae7c_240x180.jpg,"2019г.,1л.,вариаторхэтчбек5дв.,бензинрульслева,147000км"
Kia Mohave (Borrego),$46500,4084095сом,https://im.mashina.kg/tachka/images//8/c/d/8cd675a537171b6307172bafc6f709bb_240x180.jpg,"2020г.,3л.,автоматвнедорожник5дв.,дизельрульслева,22000км"
Subaru Outback,$22500,1976175сом,https://im.mashina.kg/tachka/images//0/d/8/0d8807c805d01d08a5946cd8fa1b13af_240x180.jpg,"2018г.,2.5л.,вариаторуниверсал,бензинрульслева,86000км"
Toyota Land Cruiser,$32000,2810560сом,https://im.mashina.kg/tachka/images//0/d/b/0db6e63c773500b747c4b570e95e4680_240x180.jpg,"2011г.,4л.,автоматвнедорожник5дв.,бензинрульслева,200000км"
Mercedes-Benz CLA,$23000,2020090сом,https://im.mashina.kg/tachka/images//2/2/d/22da748f6ceb8e55960e1ca9d0ce438d_240x180.jpg,"2016г.,2.1л.,роботседан,дизельрульслева,250000км"
BMW X5,$52500,4611075сом,https://im.mashina.kg/tachka/images//8/c/b/8cbb6e7555518beb61da848121ed9cce_240x180.jpg,"2016г.,4.4л.,автоматвнедорожник5дв.,бензинрульслева,160000км"
Lexus RX,$48000,4215840сом,https://im.mashina.kg/tachka/images//0/7/f/07fac198977955bae90b0532b11af699_240x180.jpg,"2016г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,95000км"
Toyota Land Cruiser,$80000,7026400сом,https://im.mashina.kg/tachka/images//8/3/e/83e50f36974700295dffd390a6ce40b8_240x180.jpg,"2017г.,4.6л.,автоматвнедорожник5дв.,бензинрульслева,120000км"
